Date,Open,High,Low,Close,Adj Close,Volume,Weekday,OP/CL,Missed Weekday,Missed date
23/06/2015,21.82,21.99,21.049999,21.219999,20.757341,10351600,Tuesday,,,
24/06/2015,21.190001,21.299999,20.91,21.01,20.55192,6334200,Wednesday,,,
25/06/2015,21.01,21.299999,21.01,21.17,20.708431,8761500,Thursday,,,
26/06/2015,21,21.02,20.65,20.74,20.287806,10532400,Friday,CL,,
29/06/2015,20.5,20.709999,20.09,20.120001,19.681326,9793100,Monday,OP,,
30/06/2015,20.24,20.33,19.969999,20.110001,19.671543,7897900,Tuesday,,,
01/07/2015,20.610001,20.9,20.219999,20.4,19.955217,7572300,Wednesday,,,
02/07/2015,20.389999,20.549999,20.290001,20.42,19.974785,3644100,Thursday,CL,Friday,03/07/2015
06/07/2015,20.25,20.530001,20.02,20.17,19.730236,5369400,Monday,OP,,
07/07/2015,20.049999,20.129999,19.16,19.790001,19.358519,14856300,Tuesday,,,
08/07/2015,19.68,19.799999,19.49,19.65,19.221571,8312300,Wednesday,,,
09/07/2015,19.959999,20.049999,19.290001,19.41,18.986805,8939700,Thursday,,,
10/07/2015,19.66,19.93,19.610001,19.75,19.319391,5417700,Friday,CL,,
13/07/2015,19.950001,19.99,19.75,19.879999,19.44656,5311800,Monday,OP,,
14/07/2015,19.91,19.93,19.629999,19.889999,19.456337,6230400,Tuesday,,,
15/07/2015,19.84,19.969999,19.57,19.75,19.319391,6643300,Wednesday,,,
16/07/2015,19.870001,20.190001,19.799999,20.190001,19.749802,7071200,Thursday,,,
17/07/2015,20.120001,20.139999,19.809999,20.07,19.632416,5509300,Friday,CL,,
20/07/2015,20.07,20.15,19.65,19.700001,19.270481,4710300,Monday,OP,,
21/07/2015,19.66,20.07,19.66,19.790001,19.358519,3743000,Tuesday,,,
22/07/2015,19.65,19.65,19.17,19.41,18.986805,8911800,Wednesday,,,
23/07/2015,19.450001,19.940001,19.41,19.65,19.221571,4247900,Thursday,,,
24/07/2015,19.790001,19.809999,19.34,19.42,18.996588,4721100,Friday,CL,,
27/07/2015,19.25,19.530001,19.09,19.309999,18.888985,4810500,Monday,OP,,
28/07/2015,19.360001,19.860001,19.16,19.73,19.299828,4957700,Tuesday,,,
29/07/2015,19.690001,20.129999,19.610001,19.969999,19.534595,5817000,Wednesday,,,
30/07/2015,19.92,20.219999,19.92,20.02,19.583504,4754500,Thursday,,,
31/07/2015,20.1,20.110001,19.83,19.950001,19.51503,5458500,Friday,CL,,
03/08/2015,20.110001,20.309999,19.85,20.290001,19.847618,9928300,Monday,OP,,
04/08/2015,20.219999,20.43,20.139999,20.370001,19.925875,6502500,Tuesday,,,
05/08/2015,20.870001,20.889999,20.540001,20.58,20.131294,5865700,Wednesday,,,
06/08/2015,20.530001,20.68,20.110001,20.450001,20.004129,16391900,Thursday,,,
07/08/2015,22.459999,23.370001,21.879999,22.98,22.478966,35131200,Friday,CL,,
10/08/2015,22.82,23.950001,22.68,23.780001,23.261528,16557600,Monday,OP,,
11/08/2015,23.43,23.889999,23.43,23.66,23.144142,10858300,Tuesday,,,
12/08/2015,23.280001,23.889999,23.280001,23.719999,23.202837,9601200,Wednesday,,,
13/08/2015,23.75,23.799999,23.459999,23.52,23.007196,6922100,Thursday,,,
14/08/2015,23.5,23.68,23.360001,23.540001,23.02676,5364000,Friday,CL,,
17/08/2015,23.5,23.5,23.1,23.389999,22.880028,6847000,Monday,OP,,
18/08/2015,23.219999,23.379999,22.9,23.08,22.671293,7177100,Tuesday,,,
19/08/2015,23.049999,23.309999,22.74,22.99,22.582888,6231200,Wednesday,,,
20/08/2015,22.73,22.84,22.049999,22.16,21.767584,10673300,Thursday,,,
