Date,Open,High,Low,Close,Adj Close,Volume,Weekday,OP/CL
25/08/2015,1.82,1.82,1.66,1.66,1.66,12097700,Tuesday,
26/08/2015,1.69,1.73,1.66,1.72,1.72,10715300,Wednesday,
27/08/2015,1.74,1.84,1.74,1.78,1.78,11839300,Thursday,
28/08/2015,1.75,1.87,1.75,1.85,1.85,10924600,Friday,CL
31/08/2015,1.82,1.87,1.79,1.81,1.81,6503500,Monday,OP
01/09/2015,1.77,1.82,1.71,1.71,1.71,8470700,Tuesday,
02/09/2015,1.75,1.77,1.72,1.77,1.77,6306100,Wednesday,
03/09/2015,1.76,1.85,1.76,1.79,1.79,7154200,Thursday,
04/09/2015,1.76,1.84,1.76,1.82,1.82,6725300,Friday,CL
08/09/2015,1.85,1.88,1.83,1.88,1.88,6009500,Tuesday,OP
09/09/2015,1.9,1.97,1.83,1.85,1.85,12547100,Wednesday,
10/09/2015,1.84,1.88,1.83,1.84,1.84,4290400,Thursday,
11/09/2015,1.88,2.14,1.81,2.01,2.01,31010300,Friday,CL
14/09/2015,2,2,1.81,1.82,1.82,16458500,Monday,OP
15/09/2015,1.84,1.87,1.81,1.86,1.86,6519400,Tuesday,
16/09/2015,1.87,1.9,1.85,1.89,1.89,4928300,Wednesday,
17/09/2015,1.9,1.94,1.87,1.89,1.89,5831600,Thursday,
18/09/2015,1.87,1.92,1.85,1.87,1.87,11713900,Friday,CL
21/09/2015,1.87,1.9,1.81,1.81,1.81,5377800,Monday,OP
22/09/2015,1.8,1.84,1.72,1.73,1.73,9975200,Tuesday,
23/09/2015,1.76,1.78,1.69,1.7,1.7,9649200,Wednesday,
24/09/2015,1.68,1.73,1.66,1.72,1.72,11247700,Thursday,
25/09/2015,1.75,1.75,1.68,1.71,1.71,5644600,Friday,CL
28/09/2015,1.69,1.7,1.66,1.66,1.66,5693100,Monday,OP
29/09/2015,1.67,1.69,1.65,1.67,1.67,7005300,Tuesday,
30/09/2015,1.7,1.72,1.68,1.72,1.72,5708000,Wednesday,
01/10/2015,1.77,1.77,1.72,1.74,1.74,5531700,Thursday,
02/10/2015,1.76,1.83,1.72,1.83,1.83,7146100,Friday,CL
05/10/2015,1.82,1.87,1.77,1.8,1.8,7595600,Monday,OP
06/10/2015,1.8,1.86,1.8,1.83,1.83,8558400,Tuesday,
07/10/2015,1.82,1.87,1.82,1.86,1.86,7859200,Wednesday,
08/10/2015,1.87,1.95,1.85,1.93,1.93,9198700,Thursday,
09/10/2015,1.92,1.96,1.89,1.96,1.96,8629100,Friday,CL
12/10/2015,1.96,1.96,1.85,1.87,1.87,7686600,Monday,OP
13/10/2015,1.87,1.94,1.86,1.92,1.92,6698400,Tuesday,
14/10/2015,1.92,1.96,1.92,1.95,1.95,10184300,Wednesday,
15/10/2015,1.97,2.06,1.95,1.97,1.97,27327100,Thursday,
16/10/2015,2,2,1.89,1.94,1.94,21544900,Friday,CL
19/10/2015,1.91,2.01,1.91,2.01,2.01,10670800,Monday,OP
20/10/2015,2,2.03,1.97,2.02,2.02,5542900,Tuesday,
21/10/2015,2.02,2.12,2.01,2.1,2.1,14944100,Wednesday,
22/10/2015,2.1,2.16,2.09,2.14,2.14,8208400,Thursday,
23/10/2015,2.1,2.21,2.1,2.21,2.21,9564200,Friday,CL
26/10/2015,2.21,2.21,2.12,2.15,2.15,6313500,Monday,OP
27/10/2015,2.12,2.16,2.1,2.15,2.15,5755600,Tuesday,
28/10/2015,2.14,2.2,2.12,2.18,2.18,6950600,Wednesday,
29/10/2015,2.15,2.18,2.11,2.13,2.13,4474400,Thursday,
30/10/2015,2.14,2.15,2.12,2.12,2.12,4897100,Friday,CL
02/11/2015,2.13,2.19,2.11,2.19,2.19,5858700,Monday,OP
03/11/2015,2.16,2.29,2.16,2.28,2.28,8705800,Tuesday,
04/11/2015,2.27,2.3,2.18,2.2,2.2,8214600,Wednesday,
05/11/2015,2.21,2.24,2.17,2.2,2.2,4302200,Thursday,
06/11/2015,2.19,2.21,2.13,2.15,2.15,8997100,Friday,CL
09/11/2015,2.15,2.18,2.1,2.11,2.11,6231200,Monday,OP
10/11/2015,2.09,2.1,2.02,2.02,2.02,6162200,Tuesday,
11/11/2015,2.02,2.09,2.02,2.07,2.07,3532100,Wednesday,
12/11/2015,2.05,2.07,2,2,2,3576800,Thursday,
13/11/2015,1.99,2.04,1.94,1.99,1.99,5920200,Friday,CL
